OFFER,RETAILER,BRAND,BRAND_BELONGS_TO_CATEGORY,OFFER_clean,PRODUCT_CATEGORY,IS_CHILD_CATEGORY_TO,IS_CHILD_CATEGORY_TO_compli,training_str
"Butterball, select varieties, spend $10 at King Soopers",KING SOOPERS,BUTTERBALL,NUT BUTTERS & JAM,,NUT BUTTERS & JAM,PANTRY,," BUTTERBALL KING SOOPERS NUT BUTTERS & JAM, NUT BUTTERS & JAM"
"Butterball, select varieties, spend $10 at Kroger",KROGER,BUTTERBALL,NUT BUTTERS & JAM,,NUT BUTTERS & JAM,PANTRY,," BUTTERBALL KROGER NUT BUTTERS & JAM, NUT BUTTERS & JAM"
"Butterball, select varieties, spend $10 at Mariano's",MARIANOS,BUTTERBALL,NUT BUTTERS & JAM,,NUT BUTTERS & JAM,PANTRY,," BUTTERBALL MARIANOS NUT BUTTERS & JAM, NUT BUTTERS & JAM"
"Butterball, select varieties, spend $10 at Pick 'n Save OR Metro Market",PICK N SAVE,BUTTERBALL,FROZEN TURKEY,Metro Market,FROZEN TURKEY,FROZEN MEAT,,"Metro Market BUTTERBALL PICK N SAVE FROZEN TURKEY, FROZEN TURKEY"
"Butterball, select varieties, spend $10 at QFC",QFC,BUTTERBALL,NUT BUTTERS & JAM,,NUT BUTTERS & JAM,PANTRY,," BUTTERBALL QFC NUT BUTTERS & JAM, NUT BUTTERS & JAM"
"Butterball, select varieties, spend $10 at Ralphs",RALPHS,BUTTERBALL,NUT BUTTERS & JAM,,NUT BUTTERS & JAM,PANTRY,," BUTTERBALL RALPHS NUT BUTTERS & JAM, NUT BUTTERS & JAM"
"Butterball, select varieties, spend $10 at Smith's",SMITHS,BUTTERBALL,NUT BUTTERS & JAM,,NUT BUTTERS & JAM,PANTRY,," BUTTERBALL SMITHS NUT BUTTERS & JAM, NUT BUTTERS & JAM"
CESAR® Wet Dog Food Singles,,CESAR,DOG SUPPLIES,Wet Dog Food Singles,DOG SUPPLIES,ANIMALS & PET SUPPLIES,,"Wet Dog Food Singles CESAR   DOG SUPPLIES, DOG SUPPLIES"
"CESAR® Wet Dog Food, spend $20",,CESAR,DOG SUPPLIES,Wet Dog Food,DOG SUPPLIES,ANIMALS & PET SUPPLIES,,"Wet Dog Food CESAR   DOG SUPPLIES, DOG SUPPLIES"
Chosen Foods® Dressings,,CHOSEN FOODS,DRESSINGS,Dressings,DRESSINGS,PANTRY,,"Dressings CHOSEN FOODS   DRESSINGS, DRESSINGS"
"Chosen Foods® Mayo, select varieties",,CHOSEN FOODS,COOKING & BAKING,Mayo,COOKING & BAKING,PANTRY,,"Mayo CHOSEN FOODS   COOKING & BAKING, COOKING & BAKING"
"Coors Light®, Miller Lite® OR VIZZY™ 12 pack+",,VIZZY,"HARD SELTZERS, SODAS, WATERS, LEMONADES & TEAS",Coors Miller,"HARD SELTZERS, SODAS, WATERS, LEMONADES & TEAS",ALCOHOL,,"Coors Miller VIZZY   HARD SELTZERS, SODAS, WATERS, LEMONADES & TEAS, HARD SELTZERS, SODAS, WATERS, LEMONADES & TEAS"
"Coors Light®, Miller Lite® OR VIZZY™ 12 packs+, buy 2",,VIZZY,"HARD SELTZERS, SODAS, WATERS, LEMONADES & TEAS",Coors Miller,"HARD SELTZERS, SODAS, WATERS, LEMONADES & TEAS",ALCOHOL,,"Coors Miller VIZZY   HARD SELTZERS, SODAS, WATERS, LEMONADES & TEAS, HARD SELTZERS, SODAS, WATERS, LEMONADES & TEAS"
"Coors Light®, Miller Lite® OR VIZZY™ 12 packs+, buy 3",,VIZZY,"HARD SELTZERS, SODAS, WATERS, LEMONADES & TEAS",Coors Miller,"HARD SELTZERS, SODAS, WATERS, LEMONADES & TEAS",ALCOHOL,,"Coors Miller VIZZY   HARD SELTZERS, SODAS, WATERS, LEMONADES & TEAS, HARD SELTZERS, SODAS, WATERS, LEMONADES & TEAS"
"Coors Light®, Miller Lite® OR VIZZY™ 12 packs+, buy 4",,VIZZY,"HARD SELTZERS, SODAS, WATERS, LEMONADES & TEAS",Coors Miller,"HARD SELTZERS, SODAS, WATERS, LEMONADES & TEAS",ALCOHOL,,"Coors Miller VIZZY   HARD SELTZERS, SODAS, WATERS, LEMONADES & TEAS, HARD SELTZERS, SODAS, WATERS, LEMONADES & TEAS"
"Coors Light®, Miller Lite® OR VIZZY™ 12 packs+, buy 5",,VIZZY,"HARD SELTZERS, SODAS, WATERS, LEMONADES & TEAS",Coors Miller,"HARD SELTZERS, SODAS, WATERS, LEMONADES & TEAS",ALCOHOL,,"Coors Miller VIZZY   HARD SELTZERS, SODAS, WATERS, LEMONADES & TEAS, HARD SELTZERS, SODAS, WATERS, LEMONADES & TEAS"
"Crunchmaster® Crackers, spend $4",,CRUNCHMASTER,CRACKERS,Crackers,CRACKERS,SNACKS,,"Crackers CRUNCHMASTER   CRACKERS, CRACKERS"
"Dixon® Safety Carpenter Pencil, 10 count, at Lowe’s®",LOWES HOME IMPROVEMENT,DIXON,MAKEUP,Safety Carpenter Pencil Lowe,MAKEUP,BEAUTY,,"Safety Carpenter Pencil Lowe DIXON LOWES HOME IMPROVEMENT MAKEUP, MAKEUP"
"Dove Hand Wash, select varieties at Target",TARGET,DOVE,DEODORANT & ANTIPERSPIRANT,Hand Wash,DEODORANT & ANTIPERSPIRANT,HEALTH & WELLNESS,,"Hand Wash DOVE TARGET DEODORANT & ANTIPERSPIRANT, DEODORANT & ANTIPERSPIRANT"
"Dove Hand Wash, select varieties, buy 2 at Target",TARGET,DOVE,DEODORANT & ANTIPERSPIRANT,Hand Wash,DEODORANT & ANTIPERSPIRANT,HEALTH & WELLNESS,,"Hand Wash DOVE TARGET DEODORANT & ANTIPERSPIRANT, DEODORANT & ANTIPERSPIRANT"
"Dr Pepper®, Regular OR Zero Sugar Strawberries and Cream 12 pack, at select retailers",UNITED SUPERMARKETS,DR PEPPER,CARBONATED SOFT DRINKS,Regular Zero Sugar Strawberries Cream Pack Retailers,CARBONATED SOFT DRINKS,BEVERAGES,,"Regular Zero Sugar Strawberries Cream Pack Retailers DR PEPPER UNITED SUPERMARKETS CARBONATED SOFT DRINKS, CARBONATED SOFT DRINKS"
"Durex® Massage & Play 2 in 1 Pleasure Gel, select varieties, at Walmart or Target",TARGET,DUREX,SEXUAL HEALTH,Massage Play Pleasure Gel Walmart,SEXUAL HEALTH,HEALTH & WELLNESS,,"Massage Play Pleasure Gel Walmart DUREX TARGET SEXUAL HEALTH, SEXUAL HEALTH"
"EVOLVE® Plant-Based Protein Shake, 4 count, select varieties, at Whole Foods",WHOLE FOODS MARKET,EVOLVE,FROZEN TURKEY,Plant Based Protein Shake,FROZEN TURKEY,FROZEN MEAT,,"Plant Based Protein Shake EVOLVE WHOLE FOODS MARKET FROZEN TURKEY, FROZEN TURKEY"
Envy Apples pre-packed bags,,ENVY,CANDY,Apples Pre Packed Bags,CANDY,SNACKS,,"Apples Pre Packed Bags ENVY   CANDY, CANDY"
"Envy Apples, pre-packed bags",,ENVY,CANDY,Apples Pre Packed Bags,CANDY,SNACKS,,"Apples Pre Packed Bags ENVY   CANDY, CANDY"
"Fresh Bakery Products at Casey's, select varieties",CASEYS GENERAL STORE,CASEYS GENERAL STORE,COOKING & BAKING,Fresh Bakery Products,COOKING & BAKING,PANTRY,,"Fresh Bakery Products CASEYS GENERAL STORE CASEYS GENERAL STORE COOKING & BAKING, COOKING & BAKING"
"Fresh Bakery items, select varieties, at Casey's",CASEYS GENERAL STORE,CASEYS GENERAL STORE,FROZEN PIZZA & PIZZA SNACKS,Fresh Bakery Items,FROZEN PIZZA & PIZZA SNACKS,FROZEN,FROZEN,"Fresh Bakery Items CASEYS GENERAL STORE CASEYS GENERAL STORE FROZEN PIZZA & PIZZA SNACKS, FROZEN"
Fresh Step® Outstretch® Cat Litter,,FRESH STEP,BAKERY,Cat Litter,BAKERY,DELI & BAKERY,,"Cat Litter FRESH STEP   BAKERY, BAKERY"
"Fresh bakery item, select varieties, at Casey's",CASEYS GENERAL STORE,CASEYS GENERAL STORE,FROZEN PIZZA & PIZZA SNACKS,Fresh Bakery Item,FROZEN PIZZA & PIZZA SNACKS,FROZEN,FROZEN,"Fresh Bakery Item CASEYS GENERAL STORE CASEYS GENERAL STORE FROZEN PIZZA & PIZZA SNACKS, FROZEN"
Frozen OR Fountain Drink at Casey's,CASEYS GENERAL STORE,CASEYS GENERAL STORE,COOKING & BAKING,Frozen Fountain Drink,COOKING & BAKING,PANTRY,,"Frozen Fountain Drink CASEYS GENERAL STORE CASEYS GENERAL STORE COOKING & BAKING, COOKING & BAKING"
Frozen OR Fountain Drink at Casey's ,CASEYS GENERAL STORE,CASEYS GENERAL STORE,COOKING & BAKING,Frozen Fountain Drink,COOKING & BAKING,PANTRY,,"Frozen Fountain Drink CASEYS GENERAL STORE CASEYS GENERAL STORE COOKING & BAKING, COOKING & BAKING"
"Frutero Ice Cream, 1 pint",,FRUTERO,FROZEN FRUITS,Ice Cream Pint,FROZEN FRUITS,FROZEN,FROZEN,"Ice Cream Pint FRUTERO   FROZEN FRUITS, FROZEN"
"GATORADE® Fast Twitch®, 12-ounce 12 pack, at Amazon Storefront*",AMAZON,GATORADE,MEDICINES & TREATMENTS,Fast Pack Storefront,MEDICINES & TREATMENTS,HEALTH & WELLNESS,,"Fast Pack Storefront GATORADE AMAZON MEDICINES & TREATMENTS, MEDICINES & TREATMENTS"
"GATORADE® Fast Twitch®, 12-ounce single serve",,GATORADE,SPORTS DRINKS,Fast Single Serve,SPORTS DRINKS,SPORTS DRINKS & ENHANCED WATERS,,"Fast Single Serve GATORADE   SPORTS DRINKS, SPORTS DRINKS"
"GATORADE® Fast Twitch®, 12-ounce single serve, at Kroger",DILLONS GROCERY,GATORADE,SPORTS DRINKS,Fast Single Serve Kroger,SPORTS DRINKS,SPORTS DRINKS & ENHANCED WATERS,,"Fast Single Serve Kroger GATORADE DILLONS GROCERY SPORTS DRINKS, SPORTS DRINKS"
"GATORADE® Fast Twitch®, 12-ounce single serve, buy 2 at Kroger",FRED MEYER,GATORADE,SPORTS DRINKS,Fast Single Serve Kroger,SPORTS DRINKS,SPORTS DRINKS & ENHANCED WATERS,,"Fast Single Serve Kroger GATORADE FRED MEYER SPORTS DRINKS, SPORTS DRINKS"
"GATORLYTE® OR GATORADE™ Fit Single Serve Bottle, select varieties",,GATORADE,MEDICINES & TREATMENTS,Fit Single Serve Bottle,MEDICINES & TREATMENTS,HEALTH & WELLNESS,,"Fit Single Serve Bottle GATORADE   MEDICINES & TREATMENTS, MEDICINES & TREATMENTS"
"GATORLYTE® OR GATORADE™ Fit Single Serve Bottle, select varieties, buy 2",,GATORADE,MEDICINES & TREATMENTS,Fit Single Serve Bottle,MEDICINES & TREATMENTS,HEALTH & WELLNESS,,"Fit Single Serve Bottle GATORADE   MEDICINES & TREATMENTS, MEDICINES & TREATMENTS"
"GOYA® Adobo Seasoning, 8 ounce+",,GOYA,DIPS & SALSA,Adobo Seasoning,DIPS & SALSA,SNACKS,,"Adobo Seasoning GOYA   DIPS & SALSA, DIPS & SALSA"
GOYA® Coconut Water,,GOYA,WATER,Coconut Water,WATER,BEVERAGES,,"Coconut Water GOYA   WATER, WATER"
"General Mills™ products, select brands, spend $35",,ANNIES HOMEGROWN GROCERY,BREAD,General Products Brands,BREAD,PANTRY,,"General Products Brands ANNIES HOMEGROWN GROCERY   BREAD, BREAD"
"General Mills™ products, select brands, spend $7 at Convenience Stores",,ANNIES HOMEGROWN GROCERY,BREAD,General Products Brands Convenience Stores,BREAD,PANTRY,,"General Products Brands Convenience Stores ANNIES HOMEGROWN GROCERY   BREAD, BREAD"
"General Mills™ products, select varieties, spend $12",,ANNIES HOMEGROWN GROCERY,REFRIGERATED DOUGHS,General Products,REFRIGERATED DOUGHS,DAIRY,DAIRY,"General Products ANNIES HOMEGROWN GROCERY   REFRIGERATED DOUGHS, DAIRY"
Glad® ForceFlex Max Strength Trash Bags,,GLAD,FOOD STORAGE,Forceflex Max Strength Trash Bags,FOOD STORAGE,HOUSEHOLD SUPPLIES,HOUSEHOLD SUPPLIES,"Forceflex Max Strength Trash Bags GLAD   FOOD STORAGE, HOUSEHOLD SUPPLIES"
"Glad® Trash Bags, 4 OR 8 Gallon",,GLAD,CRACKERS,Trash Bags Gallon,CRACKERS,SNACKS,,"Trash Bags Gallon GLAD   CRACKERS, CRACKERS"
Good Humor Viennetta Frozen Vanilla Cake,,GOOD HUMOR,FROZEN DESSERTS,Viennetta Frozen Vanilla Cake,FROZEN DESSERTS,FROZEN,FROZEN,"Viennetta Frozen Vanilla Cake GOOD HUMOR   FROZEN DESSERTS, FROZEN"
"Gorton's Air Fried Butterfly Shrimp, at Walmart",WALMART,GORTONS,JERKY & DRIED MEAT,Air Fried Butterfly Shrimp,JERKY & DRIED MEAT,SNACKS,,"Air Fried Butterfly Shrimp GORTONS WALMART JERKY & DRIED MEAT, JERKY & DRIED MEAT"
Gorton's at select retailers,STOP & SHOP,GORTONS,FROZEN MEALS,Retailers,FROZEN MEALS,FROZEN,FROZEN,"Retailers GORTONS STOP & SHOP FROZEN MEALS, FROZEN"
"Gorton's, at select retailers",SHOP RITE,GORTONS,FROZEN MEALS,Retailers,FROZEN MEALS,FROZEN,FROZEN,"Retailers GORTONS SHOP RITE FROZEN MEALS, FROZEN"
Hellmann's | Best Foods Vegan Dressing or Spread,,HELLMANNS BEST FOODS,DRESSINGS,Vegan Dressing Spread,DRESSINGS,PANTRY,,"Vegan Dressing Spread HELLMANNS BEST FOODS   DRESSINGS, DRESSINGS"
Hellmann's® OR Best Foods® AND Sargento® Cheese Slices,,HELLMANNS BEST FOODS,DRESSINGS,Cheese Slices,DRESSINGS,PANTRY,,"Cheese Slices HELLMANNS BEST FOODS   DRESSINGS, DRESSINGS"
Hellmann's® OR Best Foods® Garlic Aioli OR Spicy Mayonnaise,,HELLMANNS BEST FOODS,SAUCES & MARINADES,Garlic Aioli Spicy Mayonnaise,SAUCES & MARINADES,PANTRY,,"Garlic Aioli Spicy Mayonnaise HELLMANNS BEST FOODS   SAUCES & MARINADES, SAUCES & MARINADES"
"Hidden Valley® Ranch Night Seasoning Mix, 1 count",,HIDDEN VALLEY RANCH,DIPS & SALSA,Night Seasoning Mix,DIPS & SALSA,SNACKS,,"Night Seasoning Mix HIDDEN VALLEY RANCH   DIPS & SALSA, DIPS & SALSA"
"Hidden Valley® Ranch Salad Dressing OR Secret Sauce, select varieties",,HIDDEN VALLEY RANCH,SAUCES & MARINADES,Salad Dressing Secret Sauce,SAUCES & MARINADES,PANTRY,,"Salad Dressing Secret Sauce HIDDEN VALLEY RANCH   SAUCES & MARINADES, SAUCES & MARINADES"
"Hidden Valley® Ranch Seasoning Mix Packet, 1 count",,HIDDEN VALLEY RANCH,COOKING & BAKING,Seasoning Mix Packet,COOKING & BAKING,PANTRY,,"Seasoning Mix Packet HIDDEN VALLEY RANCH   COOKING & BAKING, COOKING & BAKING"
Hidden Valley® Ranch Seasoning Shaker,,HIDDEN VALLEY RANCH,COOKING & BAKING,Seasoning Shaker,COOKING & BAKING,PANTRY,,"Seasoning Shaker HIDDEN VALLEY RANCH   COOKING & BAKING, COOKING & BAKING"
"Hidden Valley® Ranch Seasoning, select varieties",,HIDDEN VALLEY RANCH,SAUCES & MARINADES,Seasoning,SAUCES & MARINADES,PANTRY,,"Seasoning HIDDEN VALLEY RANCH   SAUCES & MARINADES, SAUCES & MARINADES"
Klondike Cones at Walmart ,WALMART,KLONDIKE,FROZEN DESSERTS,Cones,FROZEN DESSERTS,FROZEN,FROZEN,"Cones KLONDIKE WALMART FROZEN DESSERTS, FROZEN"
"Klondike Cones, spend $10 at Walmart ",WALMART,KLONDIKE,FROZEN DESSERTS,Cones,FROZEN DESSERTS,FROZEN,FROZEN,"Cones KLONDIKE WALMART FROZEN DESSERTS, FROZEN"
"Kradle, select products, online at Chewy.com",CHEWY,KRADLE,DOG SUPPLIES,Products Online,DOG SUPPLIES,ANIMALS & PET SUPPLIES,,"Products Online KRADLE CHEWY DOG SUPPLIES, DOG SUPPLIES"
"Kradle, select varieties, at Pet Supplies Plus",PET SUPPLIES PLUS,KRADLE,COOKING & BAKING,,COOKING & BAKING,PANTRY,," KRADLE PET SUPPLIES PLUS COOKING & BAKING, COOKING & BAKING"
"Kradle, select varieties, online at Amazon",AMAZON,KRADLE,COOKING & BAKING,Online,COOKING & BAKING,PANTRY,,"Online KRADLE AMAZON COOKING & BAKING, COOKING & BAKING"
"Kradle, select varieties, spend $20 at Walmart",WALMART,KRADLE,COOKING & BAKING,,COOKING & BAKING,PANTRY,," KRADLE WALMART COOKING & BAKING, COOKING & BAKING"
Little Bites® Spend $10 at Walmart®,WALMART,ENTENMANNS,COOKIES,Little,COOKIES,SNACKS,,"Little ENTENMANNS WALMART COOKIES, COOKIES"
"Marinela® sweet baked goods, buy 2",,MARINELA,COOKIES,Sweet Baked Goods,COOKIES,SNACKS,,"Sweet Baked Goods MARINELA   COOKIES, COOKIES"
"Michael Angelo's® OR Rao's® Frozen Entrees, spend $10",,RAO'S,FROZEN MEALS,Michael Frozen Entrees,FROZEN MEALS,FROZEN,FROZEN,"Michael Frozen Entrees RAO'S   FROZEN MEALS, FROZEN"
Michael Angelo's® Sauce at Walmart,WALMART,MICHAEL ANGELO'S,SAUCES & MARINADES,Sauce,SAUCES & MARINADES,PANTRY,,"Sauce MICHAEL ANGELO'S WALMART SAUCES & MARINADES, SAUCES & MARINADES"
"Molson Coors®, select varieties, 12 pack+",,COORS LIGHT,MAKEUP,Molson,MAKEUP,BEAUTY,,"Molson COORS LIGHT   MAKEUP, MAKEUP"
Nature Valley™ Protein Granola,,NATURE VALLEY,"CEREAL, GRANOLA, & TOASTER PASTRIES",Protein Granola,"CEREAL, GRANOLA, & TOASTER PASTRIES",PANTRY,,"Protein Granola NATURE VALLEY   CEREAL, GRANOLA, & TOASTER PASTRIES, CEREAL, GRANOLA, & TOASTER PASTRIES"
Order from Casey's app or Caseys.com,CASEYS GENERAL STORE,CASEYS GENERAL STORE,FROZEN PIZZA & PIZZA SNACKS,Order App,FROZEN PIZZA & PIZZA SNACKS,FROZEN,FROZEN,"Order App CASEYS GENERAL STORE CASEYS GENERAL STORE FROZEN PIZZA & PIZZA SNACKS, FROZEN"
"Perfect Keto Barista Blend Collagen & MCTs, online at Amazon",AMAZON,PERFECT KETO,NUTS & SEEDS,Barista Blend Collagen Mcts Online,NUTS & SEEDS,SNACKS,,"Barista Blend Collagen Mcts Online PERFECT KETO AMAZON NUTS & SEEDS, NUTS & SEEDS"
"Perfect Keto Bars, online at Amazon",AMAZON,PERFECT KETO,NUTS & SEEDS,Bars Online,NUTS & SEEDS,SNACKS,,"Bars Online PERFECT KETO AMAZON NUTS & SEEDS, NUTS & SEEDS"
"Perfect Keto Beauty + Sleep Collagen, online at Amazon",AMAZON,PERFECT KETO,NUTS & SEEDS,Beauty Sleep Collagen Online,NUTS & SEEDS,SNACKS,,"Beauty Sleep Collagen Online PERFECT KETO AMAZON NUTS & SEEDS, NUTS & SEEDS"
"Perfect Keto Collagen Peptides, online at Amazon",AMAZON,PERFECT KETO,NUTS & SEEDS,Collagen Peptides Online,NUTS & SEEDS,SNACKS,,"Collagen Peptides Online PERFECT KETO AMAZON NUTS & SEEDS, NUTS & SEEDS"
"Perfect Keto Exogenous Ketones Powder, online at Amazon",AMAZON,PERFECT KETO,NUTS & SEEDS,Exogenous Nes Powder Online,NUTS & SEEDS,SNACKS,,"Exogenous Nes Powder Online PERFECT KETO AMAZON NUTS & SEEDS, NUTS & SEEDS"
"Perfect Keto MCT Oil Powder, online at Amazon",AMAZON,PERFECT KETO,MEDICINES & TREATMENTS,Mct Oil Powder Online,MEDICINES & TREATMENTS,HEALTH & WELLNESS,,"Mct Oil Powder Online PERFECT KETO AMAZON MEDICINES & TREATMENTS, MEDICINES & TREATMENTS"
"Perfect Keto Super Reds, online at Amazon",AMAZON,PERFECT KETO,NUTS & SEEDS,Super Reds Online,NUTS & SEEDS,SNACKS,,"Super Reds Online PERFECT KETO AMAZON NUTS & SEEDS, NUTS & SEEDS"
Rao's® Frozen Pizza,,RAO'S,FROZEN PIZZA & PIZZA SNACKS,Frozen Pizza,FROZEN PIZZA & PIZZA SNACKS,FROZEN,FROZEN,"Frozen Pizza RAO'S   FROZEN PIZZA & PIZZA SNACKS, FROZEN"
"Rao's®, Pasta OR Sauce, spend $10",,RAO'S,ALFREDO & WHITE PASTA SAUCE,Pasta Sauce,ALFREDO & WHITE PASTA SAUCE,PASTA SAUCE,,"Pasta Sauce RAO'S   ALFREDO & WHITE PASTA SAUCE, ALFREDO & WHITE PASTA SAUCE"
Red Gold Tomato Juice,,RED GOLD,SAUCES & MARINADES,Tomato Juice,SAUCES & MARINADES,PANTRY,,"Tomato Juice RED GOLD   SAUCES & MARINADES, SAUCES & MARINADES"
Red Gold Tomato Ketchup,,RED GOLD,SAUCES & MARINADES,Tomato Ketchup,SAUCES & MARINADES,PANTRY,,"Tomato Ketchup RED GOLD   SAUCES & MARINADES, SAUCES & MARINADES"
"Reese's Chocolate Cones, 8 count at GIANT OR MARTIN’S",GIANT FOOD,KLONDIKE,FROZEN MEALS,Reeses Chocolate Cones Martin,FROZEN MEALS,FROZEN,FROZEN,"Reeses Chocolate Cones Martin KLONDIKE GIANT FOOD FROZEN MEALS, FROZEN"
"Reese's Peanut Butter Bar, 6 count, at GIANT OR MARTIN’S",THE GIANT CO,GOOD HUMOR,FROZEN DESSERTS,Reeses Peanut Butter Bar unt Martin,FROZEN DESSERTS,FROZEN,FROZEN,"Reeses Peanut Butter Bar unt Martin GOOD HUMOR THE GIANT CO FROZEN DESSERTS, FROZEN"
"SKITTLES®, select sizes",,SKITTLES,CANDY,,CANDY,SNACKS,," SKITTLES   CANDY, CANDY"
"SKITTLES®, select varieties",,SKITTLES,CANDY,,CANDY,SNACKS,," SKITTLES   CANDY, CANDY"
"STARBURST®, select sizes, buy 1",,STARBURST,CANDY,,CANDY,SNACKS,," STARBURST   CANDY, CANDY"
"STARBURST®, select varieties",,STARBURST,CANDY,,CANDY,SNACKS,," STARBURST   CANDY, CANDY"
"Sara Lee® Delightful bread, buy 2",,SARA LEE,BREAD,Delightful Bread,BREAD,PANTRY,,"Delightful Bread SARA LEE   BREAD, BREAD"
"Sara Lee® bread select varieties, buy 2",WALMART,SARA LEE,BREAD,Bread,BREAD,PANTRY,,"Bread SARA LEE WALMART BREAD, BREAD"
"Sara Lee® bread, select varieties, buy 2 at Walmart®",WALMART,SARA LEE,BREAD,Bread,BREAD,PANTRY,,"Bread SARA LEE WALMART BREAD, BREAD"
"Sara Lee® or Alfaros® Artesano bread, buy 2",,ALFAROS,BREAD,Sara Artesano Bread,BREAD,PANTRY,,"Sara Artesano Bread ALFAROS   BREAD, BREAD"
"Sara Lee® or Alfaros® Artesano bread, buy 5",,ALFAROS,BREAD,Sara Artesano Bread,BREAD,PANTRY,,"Sara Artesano Bread ALFAROS   BREAD, BREAD"
"Sara Lee® or Alfaros® Artesano bread, spend $20",,ALFAROS,BREAD,Sara Artesano Bread,BREAD,PANTRY,,"Sara Artesano Bread ALFAROS   BREAD, BREAD"
"Sara Lee® or Alfaros® Artesano bread, spend $8",,ALFAROS,BREAD,Sara Artesano Bread,BREAD,PANTRY,,"Sara Artesano Bread ALFAROS   BREAD, BREAD"
Select Beverages AND Prepared Food Item at Casey's,CASEYS GENERAL STORE,CASEYS GENERAL STORE,COOKING & BAKING,Beverages Prepared Food Item,COOKING & BAKING,PANTRY,,"Beverages Prepared Food Item CASEYS GENERAL STORE CASEYS GENERAL STORE COOKING & BAKING, COOKING & BAKING"
Select beverages AND prepared food items at Casey's,CASEYS GENERAL STORE,CASEYS GENERAL STORE,COOKING & BAKING,Beverages Prepared Food Items,COOKING & BAKING,PANTRY,,"Beverages Prepared Food Items CASEYS GENERAL STORE CASEYS GENERAL STORE COOKING & BAKING, COOKING & BAKING"
Simply Organic Seasoning Mixes OR Spices,,SIMPLY ORGANIC,COOKING & BAKING,Seasoning Mixes Spices,COOKING & BAKING,PANTRY,,"Seasoning Mixes Spices SIMPLY ORGANIC   COOKING & BAKING, COOKING & BAKING"
Simply Spiked™ 12 pack+,,SIMPLY SPIKED,MALT BEVERAGES,,MALT BEVERAGES,ALCOHOL,," SIMPLY SPIKED   MALT BEVERAGES, MALT BEVERAGES"
Simply Spiked™ Lemonade 12 pack+,,SIMPLY SPIKED,"HARD SELTZERS, SODAS, WATERS, LEMONADES & TEAS",Lemonade,"HARD SELTZERS, SODAS, WATERS, LEMONADES & TEAS",ALCOHOL,,"Lemonade SIMPLY SPIKED   HARD SELTZERS, SODAS, WATERS, LEMONADES & TEAS, HARD SELTZERS, SODAS, WATERS, LEMONADES & TEAS"
Simply Spiked™ Signature Peach 12 pack+,,SIMPLY SPIKED,MALT BEVERAGES,Signature Peach,MALT BEVERAGES,ALCOHOL,,"Signature Peach SIMPLY SPIKED   MALT BEVERAGES, MALT BEVERAGES"
"Simply Spiked™ Signature Peach 12-pack or larger, buy 2",,SIMPLY SPIKED,MALT BEVERAGES,Signature Peach Pack Larger,MALT BEVERAGES,ALCOHOL,,"Signature Peach Pack Larger SIMPLY SPIKED   MALT BEVERAGES, MALT BEVERAGES"
Sir Kensington's® Condiments,,SIR KENSINGTONS,CONDIMENTS,Condiments,CONDIMENTS,PANTRY,,"Condiments SIR KENSINGTONS   CONDIMENTS, CONDIMENTS"
"Sir Kensington's® Condiments, buy 2",,SIR KENSINGTONS,CONDIMENTS,Condiments,CONDIMENTS,PANTRY,,"Condiments SIR KENSINGTONS   CONDIMENTS, CONDIMENTS"
Spend $10 at CVS,CVS,CVS,MEDICINES & TREATMENTS,,MEDICINES & TREATMENTS,HEALTH & WELLNESS,," CVS CVS MEDICINES & TREATMENTS, MEDICINES & TREATMENTS"
Spend $10 in-store at Casey's,CASEYS GENERAL STORE,CASEYS GENERAL STORE,COOKING & BAKING,,COOKING & BAKING,PANTRY,," CASEYS GENERAL STORE CASEYS GENERAL STORE COOKING & BAKING, COOKING & BAKING"
Spend $10 on Casey's branded packaged products,CASEYS GENERAL STORE,CASEYS GENERAL STORE,FROZEN PIZZA & PIZZA SNACKS,Branded Packaged Products,FROZEN PIZZA & PIZZA SNACKS,FROZEN,FROZEN,"Branded Packaged Products CASEYS GENERAL STORE CASEYS GENERAL STORE FROZEN PIZZA & PIZZA SNACKS, FROZEN"
Spend $25 at Casey's,CASEYS GENERAL STORE,CASEYS GENERAL STORE,COOKING & BAKING,,COOKING & BAKING,PANTRY,," CASEYS GENERAL STORE CASEYS GENERAL STORE COOKING & BAKING, COOKING & BAKING"
Spend $25 at TGI Friday's,TGI FRIDAYS,TGI FRIDAYS,FROZEN APPETIZERS,,FROZEN APPETIZERS,FROZEN,FROZEN," TGI FRIDAYS TGI FRIDAYS FROZEN APPETIZERS, FROZEN"
Spend $30 at CVS,CVS,CVS,MEDICINES & TREATMENTS,,MEDICINES & TREATMENTS,HEALTH & WELLNESS,," CVS CVS MEDICINES & TREATMENTS, MEDICINES & TREATMENTS"
Spend $35 at TGI Friday's,TGI FRIDAYS,TGI FRIDAYS,FROZEN APPETIZERS,,FROZEN APPETIZERS,FROZEN,FROZEN," TGI FRIDAYS TGI FRIDAYS FROZEN APPETIZERS, FROZEN"
Spend $45 at TGI Friday's,TGI FRIDAYS,TGI FRIDAYS,FROZEN APPETIZERS,,FROZEN APPETIZERS,FROZEN,FROZEN," TGI FRIDAYS TGI FRIDAYS FROZEN APPETIZERS, FROZEN"
